timestamp	annotations	busco	retry	giveup

2026-05-21T16:33:26Z	15378	0	0	0
2026-05-26T15:13:00Z	15406	4767	307	0
2026-05-27T14:24:24Z	15406	7112	505	0
2026-06-01T09:00:29Z	15749	9481	676	0
2026-06-01T12:04:08Z	15749	11753	931	0
2026-06-02T07:34:56Z	15749	14123	1116	0
2026-06-03T07:45:25Z	15749	14666	1157	0
2026-06-11T09:24:03Z	15757	14725	1161	0
